"","Ca","Mg","K","Na","Fl","SO4","Cl","NO3","TH","pH","EC","TDS","WQI"
"102",56,58,5,15,0.3,5,4,5.3,380,7.45,69,440,40.5839764705882
"103",37,59,0.9,66,0.1,72,18.4,5.4,335,8.05,94.1,1076,59.9151603921569
"104",96,71,1.8,30,0.4,26,16.9,6.1,532,7.58,102.9,708,55.2799250980392
"105",56,31,0,6,0,0,18,6.3,0,7.7,51,0,20.9613058823529
"106",109,102,1.8,8.6,0,46.6,20.9,6.57,585,7.58,119,760,57.8534917647059
"107",69,42,1,8.7,0.2,2,7,7.7,345,7,62.8,432,37.2161901960784
"108",26,17.4,1,6.7,0.3,1,15,8.8,136,6.77,25.5,212,25.1631764705882
"109",57,43,0.5,16.9,0.1,9,13.3,11.5,319,7.45,69.3,496,39.5052698039216
"110",78.7,75.4,1.5,51.2,0.4,36.3,4.26,15.7,506.48,6.99,100,702,57.2361276862745
"111",57,42,2.2,38,0.2,24,34,16,315,6.5,78.3,472,41.892531372549
"112",41,31,0,38,0.3,7,7.9,24,230,7.51,50.9,616,46.0832035294118
"113",27,101,1.9,47,0.7,14,15,25,483,7.44,98,680,60.793568627451
"114",36,22,6.8,13.7,0.1,19,27,27.7,180,6.77,70,405,38.3454098039216
"115",33,21,3.2,0,0.2,44,8.8,0,169,6.7,34.2,276,26.1960149019608
"116",10,5,3.2,11,0,0,5,4.5,45.52,7.4,17,136,17.5824705882353
"117",35.2,15.8,2,25.9,0.1,31.6,13,8.4,153,6.99,36,284,28.2767156862745
"118",22,12.1,1.4,44,0.2,7,31,19.2,105,6.7,42.3,392,33.4817549019608
"119",49,29,3,91,0,31,74,0.02,242,7.5,63.5,411,36.0457823529412
"120",60,31,0,1.26,0.7,43,91,41,278,6.95,120.5,900,64.5908509803922
"121",44,23,4.1,95,0.7,19,57,0.1,332,7.3,81.5,504,43.8812921568627
"122",76,38,2.9,45,0.8,7,27,0.9,346,7.65,73,564,48.1440666666667
"123",81,38,2.2,37,0.1,8,78,0.3,359,7.5,81.2,530,40.8570156862745
"124",67,47,5.3,43,0.2,9,16.2,0.8,361,7.32,88.7,400,38.4867478431373
"125",62,50,2.1,74,0.2,34,2.1,1.6,381,7.44,124.3,824,52.3767219607843
"126",69,52,3.4,90,0.2,23,88,6,386,7.3,113.5,864,56.8618254901961
"127",92,54,3.6,82,0.2,12,1,13.6,452,7.05,104.6,768,56.3019960784314
"128",1,57,1.5,70,0.4,23,1.17,29.1,484,7.35,11.2,828,55.9404020392157
"129",1.49,90,3.7,4.51,1.4,3.81,6.82,0.02,742,6.66,272,2312,101.672164196078
"130",80,42,4.1,18,0.4,3.8,20,0.4,0,6.95,82.1,512,41.7067509803922
"131",0,0,0,0,0.5,0,0,5.3,0,7.5,62.5,422,28.3600490196078
"132",30,23,5.8,1.28,0.3,53,1.94,0.02,170,7.55,91.1,600,38.8696162352941
"133",46.3,35.6,0.71,1.47,1.36,44.9,99.3,19.7,262,7.91,100,646,58.4922139215686
"134",70.4,54,6.86,73,0.15,38,81.9,1.02,376,7.84,91,554,47.6657623529412
"135",89.2,40.4,4,49.6,0.1,34.7,63.5,0.8,388.72,7.25,88,570,44.5746862745098
"136",60.7,44.9,9.44,91.3,0.21,45.9,76.3,0.96,401,7.74,90,566,48.2109305882353
"137",79.1,56.3,0,72.8,0.18,31,99.8,0.3,446,7.85,94,572,47.5045835294118
"138",73.5,69,1.23,49.4,0.16,34.74,1.54,0.3,467,7.98,0,666,48.4413001568627
"139",84.9,64.7,4.07,32.5,0.23,23.5,17.1,0.36,478,8,82,512,45.8649278431373
"140",35,20,2,40,0.3,4,45,13.6,170,7.2,43.4,362,34.6790470588235
"141",39,19,2.7,47,0.61,25,12,0.2,176,7.45,54.6,412,36.7015098039216
"142",37,24,1.4,52,0.4,13,16.8,40,191,7,53.7,482,47.2390168627451
"143",40,30,2.5,40,0.4,24,54,20,223,6.79,64.3,472,42.6894921568627
"144",44,31.9,6,1.05,0.4,41,64.3,0.9,240.98,7.39,83,576,41.599272745098
"145",23,45,6.9,1.5,0.3,54,52,1.1,245,7.35,101.6,678,44.1722647058824
"146",67,21,4.9,37,0.31,25,18,0.02,254,6.9,67.9,464,37.3888450980392
"147",36,43,7.8,1.51,0.3,49,57,0.4,267,7.35,100.9,682,44.9920147058824
"148",47.3,37.2,0.84,89.9,1.91,34.2,17.5,0.54,271,8.15,80,520,57.8272254901961
"149",58.5,33.1,4.1,57.5,0.1,9.2,74.3,1,282.1,7.75,77,496,39.3872050980392
"150",63,31,3.3,80,0.42,60,65,0.7,285,7.43,92.9,604,47.6181941176471
"151",67,30,6.2,53,0.6,25,75,0.02,290,7.55,74.6,580,47.0217882352941
"152",89.7,22.5,2.24,16.7,0,12.4,8.95,1.5,305,7.67,56,344,32.3032223529412
"153",95.9,26.3,2.57,18.1,0,15.4,16,0.92,333,7.73,61,404,35.2319294117647
"154",66,43,2.4,1.2,1.1,70,1.09,9,342,7.08,91,712,56.3722276078431
"155",76,38,2.9,45,0.8,7,27,0.9,346,7.65,73,564,48.1440666666667
"156",46,61,7.6,81,0.4,21,88,1.1,366,7.4,104.6,744,53.8450039215686
"157",78,46,1.5,28,0.2,19,21,0.8,384,6.88,68.8,452,38.6831960784314
"158",83,43,0.9,80,0.2,28,69,12.1,384,7.15,93.4,640,50.8048078431373
"159",1,33.6,0.5,47.9,0.1,3.1,14.9,7.7,387.7,7.6,82,568,36.3954074509804
"160",60.7,44.9,7.83,84.9,0.16,53.5,69.3,1.22,392,7.8,63.5,341,40.7927109803922
"161",55.1,63.7,8.16,75.3,0.33,39.6,50.5,0.1,400,7.89,88,542,48.8550882352941
"162",74,73,2.8,83,0.1,43,1.56,0.3,485,7.55,116,744,53.4903935686275
"163",3.6,1.8,1.8,1.1,0.2,1.2,9.49,3.9,1640,7.09,392,3488,115.260548784314
"164",0,0,0,0,0.41,0,0,7,0,7.7,69.3,428,28.4976725490196
"165",92.1,39.2,2.4,50.3,0.2,5.3,18.3,14.2,0,7.35,93,610,48.778091372549
"166",45.6,29,3.08,41.6,0.19,9.42,31.9,4.84,233,8.34,54,334,34.3150345098039
"167",70.6,55.8,7.75,82.4,0.2,49.3,86.3,0.82,406,8.33,95,596,51.2415266666667
"168",43.2,23.04,1.4,1.17,1.8,49,81,2.1,204,7.45,85.5,547,52.4823264705882
"169",1.87,69.3,0.09,35.2,0.1,2.92,97.33,4.63,752,7.81,0,1126,55.1262681568627
"170",4.91,3.76,1.26,2.16,0.1,3.26,1.89,0,2774,7.53,760,5084,162.778247215686
"171",43.7,44.4,7.57,1.6,0.63,1.09,97.7,1.81,292,8.58,107,684,49.7391294117647
"172",47,22,1,60,0.7,19,49,0.1,208,7.1,50.8,352,36.709168627451
"173",60,18,1,20,0.3,18,11,0.4,224,7.4,43.4,262,29.1470705882353
"174",45,31,1.41,1.13,0.5,64,76,2.6,240,7.43,53.5,770,47.9090107843137
"175",49,29,1,67,0.44,31,59,0.1,242,7.5,60,386,37.6883490196078
"176",44,38,6.9,39,0.4,12,30,0.1,266,7.73,74.8,492,40.667662745098
"177",42,40,6.3,1.04,0.4,25,48,1.1,267,7.41,105.3,269,33.4904450980392
"178",50,35,3.9,70,0.5,17,53,13.2,269,7.7,86.6,550,48.1765725490196
"179",43,42,5.8,96,0.3,8,30,0.2,281,7.68,97,632,46.4158235294118
"180",60,32,1.9,45,0.3,10,75,38,282,7.58,90,604,53.4714117647059
"181",48.7,41.1,4.3,73.8,0.3,19.3,69.1,0.9,290.55,7.27,79,494,41.8153552941176
"182",71.6,29.76,1,44,0.78,10,12,3.7,296,7.1,71.8,430,42.3376352941176
"183",83.9,30.5,2.71,24.1,0.1,10.3,14,2.68,321,7.8,62,328,34.2848509803922
"184",56,46,1.8,26,0.4,18,31,0.6,329,7.29,65.6,456,39.4042509803922
"185",91.2,25.1,1.8,33.5,0.1,13,70.7,0.5,330.78,7.14,73,472,37.8316733333333
"186",89.6,25.92,1.8,46,0.56,7,14,6.4,332,7.3,79,474,43.7999254901961
"187",85,42,2.5,78,0.28,47,51,4,336,7.1,101.6,656,50.551368627451
"188",59,47,2,45,0.5,17,27,0.2,341,7.1,80.7,479,41.9760019607843
"189",98.4,24.9,2.73,28.9,0.24,21.3,21.4,2.44,362,7.68,67,412,38.9419035294118
"190",69,46,3.1,29,0.5,15,24,3.1,362,7.15,81.3,516,44.0287078431373
"191",77,45,3,73,0.47,27,74,4.3,377,7.6,108,646,52.0437607843137
"192",76,48,0,93,0.6,21,1.76,36,388,6.88,132.6,1056,72.3688414117647
"193",0,0,0,0,0,0,0,0,390,0,0,0,0
"194",78.2,49.8,3.6,54.9,0.4,24.1,1.23,19.8,400,7.54,105,704,56.3376563921569
"195",70,55,5.1,77,1.1,28,1.08,1,401,7.55,110.2,760,60.7135509019608
"196",62,44.4,4.64,64.5,0.15,18.9,23.5,0.5,422,7.71,77,476,40.9489470588235
"197",0,0,0,0,0,0,0,0,427,0,0,0,0
"198",98,45,3,1.21,2.18,1.45,89,1.6,431,7.6,123.8,878,71.6663107843137
"199",91,51,3,59,0.2,61,70,0.2,437,7.3,116.6,634,50.0673254901961
"200",97,49,2.7,52,0.3,4,1.27,14.9,444,7.2,102,744,55.0488710588235
"201",1.25,38,0.7,29,0.1,6,1.34,1.4,468,7.1,108.6,824,41.139176627451
"202",78.4,57.3,5.28,86,0.19,40.1,60.7,0.3,485,7.64,92,550,48.5376321568627
"203",1.91,12.6,1.7,37,0.1,4.3,29,8.8,528.37,6.1,35,324,24.9742509803922
"204",1.29,53.9,3.2,39.4,0.1,7.2,1.92,1,545,7.17,119,1050,50.6116608627451
"205",1.18,75,2.4,78,0.4,40,2.87,23,604,7.14,149.1,1180,68.6899773333333
"206",0,0,0,0,0,0,0,39.8,612,0,0,0,11.144
"207",1.35,68,7.5,80,0.6,94,2.48,0.6,617,7.16,154.9,1320,70.6645583529412
"208",99,93,2.6,1.13,0.4,75,2.19,5.6,629.51,7.9,131,904,64.633240745098
"209",1.67,92.3,0.8,57.1,0.1,66.3,2.98,0.3,797,7.65,0,1004,55.2960093333333
"210",37,48,6.5,88,0.3,16,48,1,290,7.76,95.5,620,46.9194529411765
"211",53.6,19.6,1.2,49,0.4,11.2,58.9,4,215,7.58,64,452,38.2082250980392
"212",62.5,42.5,3.1,32.3,0.2,10.1,35.3,13.2,330.74,8.05,74,476,43.1895737254902
"213",1.12,24.6,2.25,23,0.18,11.7,22.4,2.39,353,8.35,65,398,30.3018623529412
"214",89.8,72.3,9.8,2.06,0.97,3.65,1.6,2.75,522,8.21,160,1150,72.9527592156863
"215",36,23,2.8,38,0.2,6.2,35,10.2,184.42,7.3,47.1,384,34.0926254901961
"216",52,19,1,8,0.2,36,23,1.2,210,7.2,40.1,232,26.9890137254902
"217",51,33,2,71,1.5,75,62,0.05,264,7.1,77.9,566,54.8865352941176
"218",46,40,6.5,1.12,0.3,33,68,0.8,280,7.6,106.6,592,42.6468941176471
"219",64,39,3.4,40,0.2,6,28,8.8,320,7.32,75.9,524,42.2781078431373
"220",91.2,23.04,0,61,0.87,23,20,5.1,324,7.4,79,506,47.9732705882353
"221",73,38,1,53,0.2,12,35,2.6,339,7.05,83.6,596,43.1607960784314
"222",63.8,46.2,1.08,16.4,0.2,13.34,26.84,0.3,349,8.07,0,414,36.3963640784314
"223",65,47,5.3,50,0.2,10,20,0.1,356,7.39,54.9,580,43.2810960784314
"224",78,47,5,80,0.4,74,1.06,0.6,388,7.5,86.3,567,49.6903876862745
"225",94,43,4.7,47,0.5,14,76,4.4,412,6.85,100.8,640,51.0893725490196
"226",1.08,42.8,1.3,33.3,0.1,8.6,1.28,1.6,445,7.04,95,644,36.9215575686275
"227",1.61,95.7,2.6,1.09,0.2,25.8,4.12,26.8,795.31,7.28,203,1674,81.1320371372549
"228",4.46,3,2.99,1.45,0.1,2.58,1.46,158.42,2349,7.41,630,4368,185.747967098039
"229",65.6,29.76,0,50,1.49,10,31,13.5,288,7.8,72.8,418,52.0419843137255
"230",86.4,39.36,1.3,65,0.67,30,84,9.6,380,7.4,101,596,53.1628039215686
"231",33,14,0.8,51,0.4,4,4.2,2.7,141,7.46,48,348,31.4134909803922
"232",51,26,3.2,30,0.72,0,37,3.8,236,7.4,60.3,370,38.1481705882353
"233",36,60,7.3,52,0.3,12,25,1.9,337,8.04,98,532,44.6437058823529
"234",38,32,3,1.35,0.3,97,94,8,229,7.6,109,659,46.5678441176471
"235",44,32,2.3,1.43,0.6,61,96,2.7,242,7.55,110.9,965,55.5150382352941
"236",1.33,65,1.5,2.24,1.6,2.89,1.97,32,600,7.02,148,1316,79.9565632156863
"237",2,1.07,2.8,1.25,0.2,1.01,4.49,23.4,939.09,7.08,241,1948,75.9052976078431
"238",60.8,19.2,0,44,0.89,11,14,2.3,232,7.5,57.7,366,39.2180490196078
"239",33,20,2.3,27,0.1,1,16.9,2.6,165,7.02,41.7,268,25.7620192156863
"240",97.6,45.4,1.9,70.6,0.3,51.2,1.52,2.8,430.24,7.39,115,928,59.0623534117647
"241",12.5,15.7,5.56,1.48,0.23,66.7,76.7,1.29,95.9,8.19,80,488,35.1181301960784
"242",24.7,31.1,4.5,71.7,0.3,20.8,64.9,0.2,189.54,7.46,62,356,34.6536976470588
"243",44,31.9,6,1.05,0.4,41,64.3,0.9,240.98,7.39,83,576,41.599272745098
"244",79,40,1.4,49,0.26,18.9,41,10,326,7.25,84.4,566,46.1622196078431
"245",24,14.3,1.2,0,0,0,0,28,119,6.4,33.8,414,32.0221529411765
"246",28,16.3,1.9,0,0,0,0,17.4,137,6.7,38.8,454,31.3523882352941
"247",45,29,2.8,0,0,0,0,0,232,7.6,53.6,408,29.6288941176471
"248",50,28,2.3,0,0,0,0,0,240,7.7,65.7,606,35.5904058823529
"249",45,32,1.9,0,0,0,0,10,244,7,55.3,460,33.2621235294118
"250",70,55,5.1,77,1.1,28,1.08,4.6,401,7.55,110.2,760,61.7215509019608
"251",1.39,1.19,1.5,0,0,0,0,26,837,7.8,145,1384,58.3501176470588
"252",79.2,24.1,2.05,31.2,0,1.97,45.5,12.2,297,8.14,68,418,38.1231976470588
"253",359,714,92,1740,0.6,976,4620,0.02,3835,7.1,1122,12015,664.183835294118
"254",15,8,1.6,30,0.2,5,16,0.02,70,7.88,27.7,255,23.7738137254902
"255",64,19.92,3.8,28,0.3,5,15,0.29,243,7.45,52.7,337,32.5964764705882
"256",15,8,2.7,15,0.3,0,12.6,0.3,70,7.86,18.8,140,20.8336847058824
"257",29.6,20.7,0.3,45,0.6,14,15,0.34,164,8,48.3,309,32.8274411764706
"258",49.1,58,5.91,30.9,0.17,6.08,11.1,0.43,404,8.52,59,412,39.0049890196078
"259",20,11.52,5.5,9,0.1,6,8,0.5,98,6.85,24,155,19.5980392156863
"260",96,33.12,2.2,40,0.2,25,49,0.5,378,6.9,81,518,41.7342784313726
"261",168,98.7,5.24,60.9,0.07,116,174,0.73,594,7.73,155,1030,76.633562745098
"262",38,19.2,0.6,58,0.2,16,11,1,175,8,55.4,355,31.8202078431373
"263",42,16.8,1.9,24,0,4,20,1,175,7.45,41,264,25.0551764705882
"264",86.1,62.8,1.57,40.3,0.17,35,101,1.16,343,7.97,93,588,48.6637843137255
"265",65,25,3.2,45,0.3,10,36,1.19,265,7.29,69.8,415,36.7233176470588
"266",47.1,42.1,4,30.5,0.6,8,28.7,1.3,290.67,7.31,57,364,38.02894
"267",62,22.8,2.2,24,0.7,6,14,1.5,250,7.05,51.1,327,35.481762745098
"268",24,13.2,0.5,61,0.2,8,8,1.7,115,8.05,44,281,27.8479137254902
"269",76.8,25.4,3.4,37.1,0,3.08,11.3,1.74,296,8.09,65,376,34.1423917647059
"270",40.1,31.5,0.9,50.2,0.3,11.6,8.4,2.1,229.61,8.17,60,382,35.2774211764706
"271",55.2,21.6,2.7,30,0.6,25,15,2.2,228,8.2,53,342,37.0377647058824
"272",20,8.4,2,27,0.3,7,10,2.66,85,6.9,27,170,22.2042117647059
"273",59,29,3.6,29,0.1,10,38,2.8,267,7.5,62.6,388,34.1464156862745
"274",43.4,51.6,4.5,27.6,0.6,7.5,22.9,2.8,320.51,7.49,61,398,40.4344211764706
"275",64,7.2,2.3,34,0.6,3.5,19,3.5,248,8.2,58,378,36.8345647058824
"276",37.1,24.4,0.7,58,0.4,25.9,22.5,3.7,192.92,8.04,60,396,36.7356392156863
"277",91.3,85.7,2.45,28.7,0,55.7,23.6,3.8,581,7.9,101,674,52.9206494117647
"278",102,66.72,2.4,31,0.4,118,65,4.2,533,7.7,104,665,57.5394392156863
"279",89.5,20.2,6.8,43,0.2,28.4,75.6,4.4,306.39,7.97,74,722,49.4741043137255
"280",73.2,25.68,2.4,55,0.4,26,47,5,290,7.35,74,476,42.2100980392157
"281",73.2,25.68,2.4,55,0.4,26,47,5,290,7.35,74,476,42.2100980392157
"282",50,25,1.4,43,0.6,6,32,5.2,228,7.39,60.8,410,38.6157294117647
"283",35.7,23.3,2.09,39.4,0,12.3,24.4,5.7,185,7.86,41.7,298,29.2094447058824
"284",96,47.8,1.61,69.3,0.12,13.5,48.6,5.89,437,7.87,97,574,48.0332258823529
"285",33,10.6,0,19.3,0.2,1,11.6,5.9,126,7.94,26.9,168,23.7382807843137
"286",40,99,24,256,0.6,68,426,6.1,507,7.56,225,1388,98.1137294117647
"287",94,34,1.8,60,0.3,27,42,6.4,375,7.15,94.7,606,47.9930411764706
"288",22.3,15.7,0.67,29.2,0,15.6,22.1,6.4,102,7.46,34,224,24.0195376470588
"289",76,28.8,2.7,35,0.3,20,33,6.8,310,7.35,65,436,39.9743647058824
"290",29.2,15.8,0.53,31.6,0,20.7,26,6.93,123,7.97,40,276,27.2040176470588
"291",76,37.72,0.6,22,0.2,14,13,7,354,7.55,71,454,39.4582549019608
"292",22.6,20.2,1.17,22.2,0,10.2,13.5,7.41,114,8.02,36,224,25.1431235294118
"293",26,13.8,0,58,0.8,14,25,7.5,122,6.85,48.3,394,37.0966725490196
"294",61,27,6.4,40,0.2,16,38,7.7,263,7.25,64.3,524,41.2739196078431
"295",61,27,6.4,40,0.2,16,38,7.7,263,7.25,64.3,524,41.2739196078431
"296",90,19.2,1.1,52,0.4,10,200,7.7,304,6.93,93.6,745,51.446168627451
"297",23.3,20.8,1.08,24.2,0.11,12.5,13.3,7.95,116,8.12,37,240,27.1808619607843
"298",79.9,35,5.1,31.7,0.1,15.4,26.8,8.4,343.31,7.84,71,388,39.1934756862745
"299",53.5,19.6,8.59,58,0,58.5,47.6,8.7,214,7.51,62,432,38.8444435294118
"300",36.4,19,1.04,30.3,0.17,17.1,20.7,8.71,143,7.42,47,290,29.8935596078431
"301",73.2,22.08,3.1,44,0.2,18,55,9,275,7.9,69,442,40.2337960784314
"302",73.2,22.08,3.1,44,0.2,18,55,9,275,7.9,69,442,40.2337960784314
"303",13.6,9.66,1.8,23,0.2,0.5,13,11.2,76,7.35,26.7,171,23.490931372549
"304",39.7,25.8,6.31,48.5,0.12,7.62,26.2,9.06,205,7.8,58.7,376,35.5091376470588
"305",69,27,2.7,36,0.1,23,52,9.3,283,7.36,68,452,38.8854392156863
"306",164,94.3,5.65,50.5,0.1,61.1,152,9.49,582,7.68,144,964,74.0061568627451
"307",111,35,8,87.9,0.3,45.6,136.9,9.5,420.9,7.96,115,430,51.1853564705882
"308",76,38,3.6,44,0.2,36,55,9.7,346,7.46,83,556,46.0777843137255
"309",38,19.2,1.5,54,0.55,15,29,11.4,175,7.05,58.7,376,37.606362745098
"310",66,37,4.3,70,0.4,36,57,13.1,317,7.5,83.3,656,52.1989156862745
"311",84.7,52.7,1.66,34.7,0.01,36.8,70.7,14.8,290,7.91,86,566,48.3873439215686
"312",40,38.64,0.4,45,0.8,27,40,15,278,7.5,71.8,459,46.3421490196078
"313",77.9,41.3,2.4,129,0.4,71,124.6,15.4,364,7.56,140,876,65.299382745098
"314",87.4,50.8,1.56,37,0.1,37.6,69.3,17,278,7.73,86,586,50.248422745098
"315",115.2,42.8,1.1,64,0.3,65,76,19,465,7.1,113,723,59.3634352941176
"316",52.2,34.9,2.31,34.6,0.15,32.4,69.1,22,129,7.71,71,448,43.2366670588235
"317",97.8,58.7,1.9,34.6,0.1,49.3,91.9,25.3,261,7.82,98,630,56.4608133333333
"318",110,43.7,3.33,57.3,0.2,21.1,56.8,30.2,455,7.8,105,680,59.4203443137255
"319",23.4,10.8,1.69,12.6,0,4.12,9.54,0.3,103,7.98,25,150,19.2904868235294
"320",13.7,8.63,3.16,18.9,0.1,2.08,6.49,4.65,87.1,7.27,25,175,20.734076627451
"321",37,81.3,5.1,40,0.2,10,21,43.7,168,7.73,425,0.5,45.1613960784314
"322",50,22,6.7,36,0.3,5,15.3,55.6,215,7.4,432,0.8,42.9952305882353
"323",54,27,2.2,62,0.6,13,19.4,69.3,246,7.31,516,4.7,51.83088
"324",54,21,1.7,42,0.2,5,25,76.8,221,7.18,585,1.6,48.747231372549
"325",53,46,2.7,67,0.6,16,39,110.5,322,7.56,600,4,67.4663294117647
"326",92.4,60.6,1.05,43.2,0.35,63.1,71.8,101,375,8.17,630,2.37,68.9360278431373
"327",71,30,3.1,18.8,0.3,2,6,75.7,300,7.34,360,4,48.6030235294118
"328",50,27,3.7,34,0.2,6,63,67.7,235.8,7.5,432,8.2,46.1147490196078
"329",45,13,0.4,32,0.4,8,16,39.9,166,7.73,255,2.7,34.940662745098
"330",34,15.8,1.4,27,0.2,1,16.9,38.2,150,7.1,296,6.6,31.5959819607843
"331",61,26,1.6,55,0.4,12,20,66.7,259.13,7.6,418,2.1,48.4084274509804
"332",49,39,5.6,34,0.5,13,26,66.6,283,7.42,428,0.3,49.8966196078431
"333",45.8,23.4,2.1,61.7,0.2,16.7,33.7,61,210.52,7.16,452,23.3,44.5556890196078
"334",67,37,2.5,34,0.3,8,84,74.4,320,7.39,484,11.5,52.0093294117647
"335",64,49,3.2,26,0.2,14,41,75.3,362,7.49,492,5.2,52.1064078431373
"336",116,38.8,1.58,10.8,0.13,20.1,40,84,320,8.12,518,10.6,57.184768627451
"337",61.9,26.9,1,111.6,0.5,34.7,50.6,82,265.08,7.14,554,3.4,58.2543866666667
"338",72,40,0.9,39,0.2,9,15,75.3,344,7.08,568,1.7,51.4226196078431
"339",70,54,4.1,44,0.1,16,28,90.1,397,7.45,584,15.8,58.6115098039216
"340",69,39.1,2.4,46.4,0.2,34.4,81.3,89,332.97,7.05,658,14,58.5203560784314
"341",60,40,5.9,55,0.3,14,38,84.8,314,7.45,660,3.4,57.9919764705882
"342",91.9,56.6,0.55,58.7,0.15,80,61.2,101,396,8.01,636,1.07,67.4002823529412
"343",87,45,1,31,0.2,6,25,80.6,402,7.16,620,14,55.4015490196078
"344",55.7,52.3,2.3,90.3,0.4,51.4,88.5,114,354.08,7.57,798,19.5,72.8831039215686
"345",17,7,1.1,11,0.2,5,5,19.8,71.21,7.6,158,3,22.2639607843137
"346",19.5,7.4,1.4,18.9,0.2,4,10.5,23.3,79,7.31,240,0.6,24.4095666666667
"347",60,35,5.3,9.4,0.5,3,6.3,63.6,294,7.51,284,4.3,46.3584501960784
"348",35,40,6.2,49,0.5,16,14.8,73.8,252,7.69,468,1,52.523191372549
"349",71.2,42.7,1.5,52.8,0.2,19.5,62.4,77,353,7.03,500,5.8,53.1195937254902
"350",64.4,42.6,3.8,53.8,0.2,28.4,101.5,78,335.89,7.21,512,2.8,54.4850549019608
"351",49,36,2.1,53,0.2,31,23,73.2,271,7.35,524,4.5,50.226031372549
"352",57,43,8,57,0.2,14,43,87.2,319,7.3,590,8.6,57.7031254901961
"353",66,64,3.5,24,0.5,3,27,81.6,428,7.42,595,10.4,59.2726196078431
"354",60,50,1.6,90,0.3,5,45,82.5,356,7.52,705,1.1,59.3415647058824
"355",80.9,38.4,1.19,37,0.12,8.73,26.7,77,341,8.09,480,4.37,52.1901317647059
"356",34.1,17.4,2.8,33.6,0.2,10.3,25.6,45,157,7.07,302,1.9,34.6561984313726
"357",65,31,3.1,38,0.2,14,58,70.7,289.68,7.1,420,2.2,48.0631019607843
