"","Ca","Mg","K","Na","Fl","SO4","Cl","NO3","TH","pH","EC","TDS","WQI"
"424",116,38.8,1.58,10.8,0.13,20.1,40,84,320,8.12,518,10.6,57.184768627451
"425",61.9,26.9,1,111.6,0.5,34.7,50.6,82,265.08,7.14,554,3.4,58.2543866666667
"426",72,40,0.9,39,0.2,9,15,75.3,344,7.08,568,1.7,51.4226196078431
"427",70,54,4.1,44,0.1,16,28,90.1,397,7.45,584,15.8,58.6115098039216
"428",69,39.1,2.4,46.4,0.2,34.4,81.3,89,332.97,7.05,658,14,58.5203560784314
"429",60,40,5.9,55,0.3,14,38,84.8,314,7.45,660,3.4,57.9919764705882
"430",91.9,56.6,0.55,58.7,0.15,80,61.2,101,396,8.01,636,1.07,67.4002823529412
"431",87,45,1,31,0.2,6,25,80.6,402,7.16,620,14,55.4015490196078
"432",55.7,52.3,2.3,90.3,0.4,51.4,88.5,114,354.08,7.57,798,19.5,72.8831039215686
"433",17,7,1.1,11,0.2,5,5,19.8,71.21,7.6,158,3,22.2639607843137
"434",19.5,7.4,1.4,18.9,0.2,4,10.5,23.3,79,7.31,240,0.6,24.4095666666667
"435",60,35,5.3,9.4,0.5,3,6.3,63.6,294,7.51,284,4.3,46.3584501960784
"436",35,40,6.2,49,0.5,16,14.8,73.8,252,7.69,468,1,52.523191372549
"437",71.2,42.7,1.5,52.8,0.2,19.5,62.4,77,353,7.03,500,5.8,53.1195937254902
"438",64.4,42.6,3.8,53.8,0.2,28.4,101.5,78,335.89,7.21,512,2.8,54.4850549019608
"439",49,36,2.1,53,0.2,31,23,73.2,271,7.35,524,4.5,50.226031372549
"440",57,43,8,57,0.2,14,43,87.2,319,7.3,590,8.6,57.7031254901961
"441",66,64,3.5,24,0.5,3,27,81.6,428,7.42,595,10.4,59.2726196078431
"442",60,50,1.6,90,0.3,5,45,82.5,356,7.52,705,1.1,59.3415647058824
"443",80.9,38.4,1.19,37,0.12,8.73,26.7,77,341,8.09,480,4.37,52.1901317647059
"444",34.1,17.4,2.8,33.6,0.2,10.3,25.6,45,157,7.07,302,1.9,34.6561984313726
"445",65,31,3.1,38,0.2,14,58,70.7,289.68,7.1,420,2.2,48.0631019607843
"446",58.7,31.7,0.8,41,0.2,8.2,37.4,60,276.84,7.05,388,5.3,43.4492760784314
"447",75,40,3.3,14.8,0.1,3,16.8,69.1,352,7.52,472,12.2,48.1278580392157
"448",52,45,5.1,25,0.5,11,16,59.7,315,7.53,485,5.4,49.1267725490196
"449",53.3,46,1.1,53.3,0.5,31.3,58.9,75,322.18,7.19,538,23,55.7147525490196
"450",58,37,4.1,50,0.1,4,21,82.3,297,7.45,556,0.6,52.4775098039216
"451",94,33,2.3,16.7,0.3,3,9.9,69.4,371,7.01,572,6.8,50.8055447058824
"452",75,45,6.2,70,0.1,9,63,102.5,373,7.3,640,14.7,63.6435921568627
"453",61,37,1.8,98,0.7,11,46,96.8,305,7.4,674,24.6,66.3858039215686
"454",110,65,4.4,54,0.2,20,111,117,542,7.3,796,14.9,75.3001254901961
"455",34.6,48.6,5.4,220,0.6,10.7,14.8,122,286.22,7.4,828,4.8,78.9584305882353
"456",75,76,1.4,24,0.3,7,50,119.9,500,7.32,675,3,70.7019411764706
"457",106,33,3.44,47,0.33,19.1,33.5,88,401,8.02,580,21.9,61.5316235294118
"458",71.3,52.5,2.26,196,0.7,92.9,174,131,394,8.23,938,12.5,91.0283215686274
"459",79.7,78.8,1.12,32.1,0.34,5.85,32.8,95,459,8.14,592,5.46,65.0950909803922
"460",36.4,23,2,34.2,0.1,8.7,26,44,185.42,7.23,302,3.6,34.3306039215686
"461",80,21,5.2,44,0.3,19,32,67.5,286,7.5,460,3,49.7542823529412
"462",80,34,1,13.9,0.2,5,12.1,54.7,340,7.34,505,1,43.9255101960784
"463",42.4,58.2,5.7,94,0.2,12.1,45.5,91,345.16,7.3,614,10.7,60.7993254901961
"464",57,30,2.2,61,0.1,13,53,57,266,7.1,198,5.9,40.915368627451
"465",33.4,20.1,3.8,45.3,0.1,5.5,9.2,46,166,7.31,316,2.8,35.1902733333333
"466",36,25,1.1,36,0.1,18,40,59.3,235,7,390,1.3,39.7575568627451
"467",44,18,1.9,75,0.4,7,67,73.6,183.81,7.9,440,7.9,50.144462745098
"468",54.5,32.6,2,72,0.1,1.6,6.4,74,270.06,7.22,502,2.4,48.724142745098
"469",77,40,2.5,47,0.3,18,60,83.9,356.63,7.6,530,3.9,57.0504941176471
"470",89,48,0.2,41,0.1,12,31,89.5,420,7.52,556,3.6,57.4720980392157
"471",80,31,1.2,47,0.2,7,43,82.4,327,6.75,570,7.9,53.4197607843137
"472",108,38,1.3,59,0.4,34,60,102,426,6.9,624,7.5,66.3047450980392
